codigo,id_categoria,id_subcategoria,Nome,Quantidade,Descricao,Codigo Amarração,image_url,Vlr Bruto,Vlr Unitario
5211,5,18,CANECAO NEW FORT FLON 12,1,"- 1,10 L",,,"26,56","26,56"
4780,5,18,CANECAO NEW FORT FLON 12,6,6 peças,5211,,"149,77","24,96"
5212,5,18,CANECAO NEW FORT FLON 14,1,"- 1,55 L",,,"32,48","32,48"
4781,5,18,CANECAO NEW FORT FLON 14,6,6 peças,5212,,"183,17","30,53"
5213,5,18,CANECAO NEW FORT FLON 16,1,"- 2,20 L",,,"44,13","44,13"
4782,5,18,CANECAO NEW FORT FLON 16,6,6 peças,5213,,"248,91","41,49"
5214,5,18,FERVEDOR NEW FORT FLON C/ TPA VIDRO 12,1,"- 1,05 L",,,"41,47","41,47"
4783,5,18,FERVEDOR NEW FORT FLON C/ TPA VIDRO 12,6,6 peças,5214,,"233,91","38,98"
5215,5,18,FERVEDOR NEW FORT FLON C/ TPA VIDRO 14,1,"- 1,55 L",,,"47,32","47,32"
4784,5,18,FERVEDOR NEW FORT FLON C/ TPA VIDRO 14,6,6 peças,5215,,"266,88","44,48"
5216,5,18,FERVEDOR NEW FORT FLON C/ TPA VIDRO 16,1,"- 2,20 L",,,"59,62","59,62"
4785,5,18,FERVEDOR NEW FORT FLON C/ TPA VIDRO 16,6,6 peças,5216,,"336,23","56,04"
2033,5,19,CANECAO EXTRA FORTE POLIDO 10,1,"- 1,00 L",,,"19,48","19,48"
2016,5,19,CANECAO EXTRA FORTE POLIDO 12,1,"- 1,30 L",,,"26,89","26,89"
2017,5,19,CANECAO EXTRA FORTE POLIDO 14,1,"- 1,90 L",,,"31,84","31,84"
2018,5,19,CANECAO EXTRA FORTE POLIDO 16,1,"- 2,55 L",,,"42,23","42,23"
2054,5,19,CANECAO EXTRA FORTE POLIDO 18,1,"- 4,00 L",,,"65,08","65,08"
2020,5,19,FERVEDOR EXTRA FORTE POLIDO 12,1,"- 1,10 L",,,"33,19","33,19"
2021,5,19,FERVEDOR EXTRA FORTE POLIDO 14,1,"- 1,70 L",,,"39,52","39,52"
2022,5,19,FERVEDOR EXTRA FORTE POLIDO 16,1,"- 2,35 L",,,"51,83","51,83"
2049,5,19,CANECAO EXTRA FORTE POLIDO C/ CABO MAD 10,1,"- 1,00 L",,,"25,48","25,48"
2050,5,19,CANECAO EXTRA FORTE POLIDO C/ CABO MAD 12,1,"- 1,30 L",,,"31,97","31,97"
2051,5,19,CANECAO EXTRA FORTE POLIDO C/ CABO MAD 14,1,"- 1,90 L",,,"37,33","37,33"
2052,5,19,CANECAO EXTRA FORTE POLIDO C/ CABO MAD 16,1,"- 2,55 L",,,"47,69","47,69"
2019,5,19,CANECAO EXTRA FORTE POLIDO C/ CABO MAD 18,1,"- 4,00 L",,,"54,68","54,68"
3049,5,20,CANECAO REFORÇADO POLIDO 10,1,"- 1,00 L",,,"16,03","16,03"
4682,5,20,CANECAO REFORÇADO POLIDO 10,6,6 peças,3049,,"90,42","15,07"
3061,5,20,CANECAO REFORÇADO POLIDO 12,1,"- 1,30 L",,,"18,02","18,02"
